state_abbr,state_fips,county_name,is_metro,county_code,pop2023,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
IA,19,Poweshiek,0,157,18608,733.00,853.00,988.00,1303.00,1308.00
VA,51,Powhatan,1,145,30503,1442.00,1507.00,1655.00,2072.00,2553.00
AR,05,Prairie,0,117,8217,630.00,671.00,880.00,1150.00,1240.00
MT,30,Prairie,0,079,1283,1160.00,1208.00,1548.00,2139.00,2503.00
KS,20,Pratt,0,151,9175,643.00,766.00,877.00,1157.00,1161.00
OH,39,Preble,0,135,40929,736.00,742.00,973.00,1298.00,1424.00
MS,28,Prentiss,0,117,24945,638.00,642.00,842.00,1012.00,1118.00
TX,48,Presidio,0,377,6168,789.00,811.00,1015.00,1321.00,1493.00
MI,26,Presque Isle,0,141,13083,671.00,742.00,973.00,1167.00,1506.00
WV,54,Preston,1,077,34206,871.00,877.00,1099.00,1318.00,1657.00
WI,55,Price,0,099,14066,737.00,742.00,973.00,1211.00,1288.00
VA,51,Prince Edward,0,147,21922,916.00,922.00,1094.00,1312.00,1448.00
VA,51,Prince George,1,149,42634,1442.00,1507.00,1655.00,2072.00,2553.00
MD,24,Prince George's,1,033,957189,1953.00,2015.00,2246.00,2835.00,3332.00
AK,02,Prince of Wales-Hyder Census Area,0,198,5799,827.00,1030.00,1153.00,1464.00,1899.00
VA,51,Prince William,1,153,481114,1953.00,2015.00,2246.00,2835.00,3332.00
RI,44,Providence,1,007,16243,1318.00,1402.00,1729.00,2087.00,2480.00
CO,08,Prowers,0,099,11968,746.00,888.00,973.00,1249.00,1542.00
CO,08,Pueblo,1,101,168135,875.00,967.00,1269.00,1617.00,1893.00
AR,05,Pulaski,1,119,398322,984.00,989.00,1147.00,1540.00,1822.00
GA,13,Pulaski,0,235,9887,854.00,858.00,1003.00,1280.00,1438.00
IL,17,Pulaski,0,153,5177,632.00,836.00,916.00,1274.00,1537.00
IN,18,Pulaski,0,131,12498,685.00,872.00,956.00,1330.00,1604.00
KY,21,Pulaski,0,199,65145,662.00,706.00,926.00,1110.00,1355.00
MO,29,Pulaski,0,169,53726,789.00,809.00,1062.00,1477.00,1699.00
VA,51,Pulaski,1,155,33841,699.00,840.00,921.00,1252.00,1545.00
OK,40,Pushmataha,0,127,10845,646.00,750.00,937.00,1303.00,1475.00
FL,12,Putnam,0,107,73604,874.00,880.00,1155.00,1452.00,1529.00
GA,13,Putnam,0,237,22206,892.00,898.00,1134.00,1546.00,1626.00
IL,17,Putnam,0,155,5628,646.00,851.00,937.00,1212.00,1553.00
IN,18,Putnam,0,133,36942,738.00,843.00,1030.00,1390.00,1634.00
MO,29,Putnam,0,171,4698,660.00,698.00,888.00,1065.00,1320.00
NY,36,Putnam,1,079,97942,2529.00,2655.00,2910.00,3644.00,3959.00
OH,39,Putnam,0,137,34400,797.00,808.00,1053.00,1263.00,1394.00
TN,47,Putnam,0,141,80157,752.00,818.00,1014.00,1409.00,1557.00
WV,54,Putnam,1,079,57347,798.00,803.00,1054.00,1461.00,1575.00
NM,35,Quay,0,037,8641,723.00,742.00,973.00,1227.00,1569.00
PR,72,Quebradillas Municipio,1,115,23540,437.00,440.00,510.00,699.00,787.00
MD,24,Queen Anne's,1,035,50316,1362.00,1511.00,1857.00,2358.00,2611.00
NY,36,Queens,1,081,2360826,2529.00,2655.00,2910.00,3644.00,3959.00
GA,13,Quitman,0,239,2180,765.00,770.00,973.00,1217.00,1395.00
MS,28,Quitman,0,119,6113,708.00,713.00,842.00,1171.00,1412.00
GA,13,Rabun,0,241,16915,770.00,851.00,1117.00,1553.00,1687.00
WI,55,Racine,1,101,197068,851.00,988.00,1235.00,1592.00,1962.00
VA,51,Radford city,1,750,16379,910.00,993.00,1271.00,1706.00,2132.00
TX,48,Rains,0,379,12257,756.00,888.00,973.00,1353.00,1632.00
WV,54,Raleigh,1,081,74303,715.00,719.00,944.00,1313.00,1377.00
MO,29,Ralls,0,173,10356,660.00,677.00,888.00,1128.00,1490.00
MN,27,Ramsey,1,123,547202,1242.00,1405.00,1709.00,2262.00,2531.00
ND,38,Ramsey,0,071,11613,602.00,719.00,873.00,1214.00,1464.00
TX,48,Randall,1,381,141489,778.00,903.00,1106.00,1503.00,1742.00
AL,01,Randolph,0,111,22179,536.00,634.00,778.00,980.00,1126.00
AR,05,Randolph,0,121,18619,630.00,681.00,880.00,1224.00,1282.00
GA,13,Randolph,0,243,6365,778.00,783.00,1028.00,1233.00,1361.00
IL,17,Randolph,0,157,30413,632.00,698.00,916.00,1145.00,1450.00
IN,18,Randolph,0,135,24586,675.00,841.00,956.00,1261.00,1266.00
MO,29,Randolph,0,175,24652,660.00,693.00,888.00,1235.00,1384.00
NC,37,Randolph,1,151,144403,1159.00,1213.00,1330.00,1703.00,1960.00
WV,54,Randolph,0,083,28005,641.00,708.00,929.00,1183.00,1468.00
MS,28,Rankin,1,121,157185,1091.00,1097.00,1288.00,1544.00,1705.00
ND,38,Ransom,0,073,5663,710.00,715.00,923.00,1196.00,1548.00
LA,22,Rapides Parish,1,079,129536,728.00,780.00,994.00,1342.00,1523.00
VA,51,Rappahannock,1,157,7422,1198.00,1254.00,1375.00,1649.00,2307.00
MT,30,Ravalli,0,081,44876,1116.00,1145.00,1423.00,1979.00,2387.00
KS,20,Rawlins,0,153,2544,697.00,726.00,952.00,1141.00,1385.00
MO,29,Ray,1,177,23122,1095.00,1197.00,1358.00,1769.00,2103.00
TX,48,Reagan,0,383,3308,789.00,811.00,1015.00,1321.00,1493.00
TX,48,Real,0,385,2830,812.00,953.00,1045.00,1360.00,1538.00
MN,27,Red Lake,0,125,3912,671.00,742.00,973.00,1277.00,1288.00
TX,48,Red River,0,387,11627,671.00,778.00,973.00,1353.00,1632.00
LA,22,Red River Parish,0,081,7631,601.00,647.00,834.00,1073.00,1251.00
NE,31,Red Willow,0,145,10690,666.00,732.00,961.00,1152.00,1272.00
MN,27,Redwood,0,127,15428,671.00,742.00,973.00,1321.00,1566.00
TX,48,Reeves,0,389,14022,842.00,988.00,1083.00,1299.00,1593.00
TX,48,Refugio,0,391,6718,756.00,778.00,973.00,1353.00,1432.00
KS,20,Reno,0,155,61881,660.00,729.00,957.00,1168.00,1326.00
NY,36,Rensselaer,1,083,160943,1217.00,1417.00,1702.00,2041.00,2253.00
MN,27,Renville,0,129,14707,776.00,781.00,973.00,1353.00,1602.00
ND,38,Renville,1,075,2282,783.00,824.00,1081.00,1329.00,1557.00
KS,20,Republic,0,157,4686,643.00,800.00,877.00,1200.00,1276.00
MO,29,Reynolds,0,179,6102,660.00,677.00,888.00,1065.00,1176.00
TN,47,Rhea,0,143,33031,700.00,705.00,925.00,1220.00,1225.00
KS,20,Rice,0,159,9441,643.00,668.00,877.00,1178.00,1276.00
MN,27,Rice,0,131,67152,899.00,905.00,1187.00,1534.00,1991.00
UT,49,Rich,0,033,2543,711.00,810.00,973.00,1299.00,1632.00
NE,31,Richardson,0,147,7850,666.00,732.00,961.00,1152.00,1272.00
IL,17,Richland,0,159,15716,632.00,729.00,916.00,1098.00,1390.00
MT,30,Richland,0,083,11366,1143.00,1197.00,1312.00,1573.00,2201.00
ND,38,Richland,0,077,16548,661.00,665.00,873.00,1214.00,1464.00
OH,39,Richland,1,139,125008,671.00,773.00,973.00,1315.00,1530.00
SC,45,Richland,1,079,416161,1032.00,1164.00,1276.00,1623.00,1911.00
WI,55,Richland,0,103,17256,671.00,815.00,973.00,1167.00,1461.00
LA,22,Richland Parish,1,083,20028,754.00,759.00,944.00,1132.00,1344.00
VA,51,Richmond city,1,760,227171,1442.00,1507.00,1655.00,2072.00,2553.00
GA,13,Richmond,1,245,206153,939.00,1114.00,1261.00,1627.00,1984.00
NY,36,Richmond,1,085,492925,2529.00,2655.00,2910.00,3644.00,3959.00
NC,37,Richmond,0,153,43149,714.00,814.00,925.00,1286.00,1406.00
VA,51,Richmond,0,159,8968,876.00,882.00,1157.00,1464.00,1825.00
KS,20,Riley,1,161,72105,870.00,875.00,1068.00,1485.00,1792.00
PR,72,Rincón Municipio,1,117,15164,480.00,482.00,564.00,680.00,756.00
IA,19,Ringgold,0,159,4690,682.00,748.00,919.00,1125.00,1227.00
NM,35,Rio Arriba,0,039,40285,737.00,742.00,973.00,1199.00,1437.00
CO,08,Rio Blanco,0,103,6511,764.00,769.00,1009.00,1285.00,1582.00
CO,08,Rio Grande,0,105,11442,839.00,976.00,1094.00,1312.00,1715.00
PR,72,Río Grande Municipio,1,119,46838,559.00,572.00,663.00,868.00,1046.00
IN,18,Ripley,0,137,28990,681.00,752.00,987.00,1302.00,1307.00
MO,29,Ripley,0,181,10839,660.00,731.00,888.00,1141.00,1420.00
WV,54,Ritchie,0,085,8507,658.00,662.00,869.00,1042.00,1151.00
CA,06,Riverside,1,065,2429487,1692.00,1777.00,2201.00,2912.00,3514.00
TN,47,Roane,1,145,53777,912.00,918.00,1092.00,1432.00,1832.00
WV,54,Roane,0,087,14027,667.00,793.00,869.00,1173.00,1177.00
VA,51,Roanoke city,1,770,99213,1004.00,1053.00,1254.00,1743.00,2104.00
VA,51,Roanoke,1,161,96653,1004.00,1053.00,1254.00,1743.00,2104.00
SD,46,Roberts,0,109,10242,641.00,799.00,929.00,1234.00,1558.00
TX,48,Roberts,0,393,764,789.00,811.00,1015.00,1321.00,1493.00
KY,21,Robertson,0,201,2207,619.00,660.00,866.00,1081.00,1209.00
