state,state_abbr,state_fips,county_code,msa_code,county_name,adult_1_children_0,adult_1_children_1,adult_1_children_2,adult_1_children_3,adults_2_children_0,adults_2_children_1,adults_2_children_3
California,CA,06,057,0600007,Nevada,5900,8656,12969,17260,10817,13425,17268
California,CA,06,059,31080,Orange,4627,6787,10170,13535,8483,10527,13541
California,CA,06,061,40900,Placer,5129,7524,11274,15005,9404,11670,15011
California,CA,06,063,0600007,Plumas,4802,7044,10555,14048,8804,10926,14054
California,CA,06,065,40140,Riverside,4148,6085,9117,12134,7604,9437,12139
California,CA,06,067,40900,Sacramento,4428,6496,9733,12954,8118,10075,12960
California,CA,06,069,41940,San Benito,5328,7816,11710,15586,9768,12122,15593
California,CA,06,071,40140,San Bernardino,3973,5828,8731,11621,7283,9039,11626
California,CA,06,073,41740,San Diego,4487,6582,9861,13125,8225,10208,13131
California,CA,06,075,41860,San Francisco,5807,8518,12763,16987,10646,13212,16995
California,CA,06,077,44700,San Joaquin,4405,6462,9682,12886,8076,10022,12891
California,CA,06,079,42020,San Luis Obispo,5153,7559,11325,15073,9446,11724,15080
California,CA,06,081,41860,San Mateo,5421,7953,11916,15859,9939,12335,15866
California,CA,06,083,42200,Santa Barbara,4463,6547,9810,13056,8183,10155,13062
California,CA,06,085,41940,Santa Clara,5036,7387,11068,14731,9232,11458,14738
California,CA,06,087,42100,Santa Cruz,5702,8364,12532,16679,10453,12973,16687
California,CA,06,089,39820,Shasta,4568,6702,10041,13364,8375,10394,13370
California,CA,06,091,0600007,Sierra,5900,8656,12969,17260,10817,13425,17268
California,CA,06,093,0600007,Siskiyou,4475,6565,9836,13091,8204,10182,13096
California,CA,06,095,46700,Solano,4452,6530,9784,13022,8161,10129,13028
California,CA,06,097,42220,Sonoma,5328,7816,11710,15586,9768,12122,15593
California,CA,06,099,33700,Stanislaus,4440,6513,9759,12988,8140,10102,12994
California,CA,06,101,49700,Sutter,4230,6205,9296,12373,7754,9623,12378
California,CA,06,103,0600007,Tehama,4276,6273,9399,12510,7840,9730,12515
California,CA,06,105,0600007,Trinity,4568,6702,10041,13364,8375,10394,13370
