state,state_abbr,county_name,state_fips,county_code,county_lowest_cost,state_average_cost
Connecticut,CT,Litchfield,09,130,64.99,65.5
Connecticut,CT,Middlesex,09,140,148.64,65.5
Connecticut,CT,New Haven,09,150,62.19,65.5
Connecticut,CT,New London,09,160,59.19,65.5
Connecticut,CT,Tolland,09,170,71.99,65.5
Connecticut,CT,Windham,09,180,63.32,65.5
Delaware,DE,Kent,09,190,58.32,73.02
Delaware,DE,New Castle,10,001,118.73,73.02
Delaware,DE,Sussex,10,003,67.49,73.02
District of Columbia,DC,District of Columbia,10,005,115.18,80.64
Florida,FL,Alachua,11,001,66.50,76.11
Florida,FL,Baker,12,001,79.99,76.11
Florida,FL,Bay,12,003,64.00,76.11
Florida,FL,Bradford,12,005,70.00,76.11
Florida,FL,Brevard,12,007,74.39,76.11
Florida,FL,Broward,12,009,100.98,76.11
Florida,FL,Calhoun,12,011,37.99,76.11
Florida,FL,Charlotte,12,013,65.00,76.11
Florida,FL,Citrus,12,015,69.99,76.11
Florida,FL,Clay,12,017,66.66,76.11
Florida,FL,Collier,12,019,90.99,76.11
Florida,FL,Columbia,12,021,66.50,76.11
Florida,FL,DeSoto,12,023,79.99,76.11
Florida,FL,Dixie,12,027,60.00,76.11
Florida,FL,Duval,12,029,73.59,76.11
Florida,FL,Escambia,12,031,69.33,76.11
Florida,FL,Flagler,12,033,67.50,76.11
Florida,FL,Franklin,12,035,37.99,76.11
Florida,FL,Gadsden,12,037,62.32,76.11
Florida,FL,Gilchrist,12,039,60.00,76.11
Florida,FL,Glades,12,041,79.99,76.11
Florida,FL,Gulf,12,043,37.99,76.11
Florida,FL,Hamilton,12,045,79.99,76.11
Florida,FL,Hardee,12,047,74.99,76.11
Florida,FL,Hendry,12,049,79.99,76.11
Florida,FL,Hernando,12,051,67.50,76.11
Florida,FL,Highlands,12,053,79.99,76.11
Florida,FL,Hillsborough,12,055,65.24,76.11
Florida,FL,Holmes,12,057,70.00,76.11
Florida,FL,Indian River,12,059,66.66,76.11
Florida,FL,Jackson,12,061,69.99,76.11
Florida,FL,Jefferson,12,063,79.99,76.11
Florida,FL,Lafayette,12,065,79.99,76.11
Florida,FL,Lake,12,067,66.64,76.11
Florida,FL,Lee,12,069,80.66,76.11
Florida,FL,Leon,12,071,87.33,76.11
Florida,FL,Levy,12,073,70.00,76.11
Florida,FL,Liberty,12,075,37.99,76.11
Florida,FL,Madison,12,077,79.99,76.11
Florida,FL,Manatee,12,079,69.98,76.11
Florida,FL,Marion,12,081,67.19,76.11
Florida,FL,Martin,12,083,79.39,76.11
Florida,FL,Miami-Dade,12,085,106.99,76.11
Florida,FL,Monroe,12,086,66.66,76.11
Florida,FL,Nassau,12,087,75.50,76.11
Florida,FL,Okaloosa,12,089,65.99,76.11
Florida,FL,Okeechobee,12,091,79.99,76.11
Florida,FL,Orange,12,093,70.32,76.11
Florida,FL,Osceola,12,095,69.49,76.11
Florida,FL,Palm Beach,12,097,100.23,76.11
Florida,FL,Pasco,12,099,73.39,76.11
Florida,FL,Pinellas,12,101,68.33,76.11
Florida,FL,Polk,12,103,76.74,76.11
Florida,FL,Putnam,12,105,70.00,76.11
Florida,FL,Santa Rosa,12,107,69.33,76.11
Florida,FL,Sarasota,12,113,76.38,76.11
Florida,FL,Seminole,12,115,59.99,76.11
Florida,FL,Saint Johns,12,117,66.66,76.11
Florida,FL,Saint Lucie,12,109,71.99,76.11
Florida,FL,Sumter,12,111,74.99,76.11
Florida,FL,Suwannee,12,119,79.99,76.11
Florida,FL,Taylor,12,121,70.00,76.11
Florida,FL,Union,12,123,79.99,76.11
Florida,FL,Volusia,12,125,73.28,76.11
Florida,FL,Wakulla,12,127,58.99,76.11
Florida,FL,Walton,12,129,65.19,76.11
Florida,FL,Washington,12,131,71.19,76.11
Georgia,GA,Appling,12,133,70.00,88.35
Georgia,GA,Atkinson,13,001,88.46,88.35
Georgia,GA,Bacon,13,003,25.00,88.35
Georgia,GA,Baker,13,005,60.00,88.35
Georgia,GA,Baldwin,13,007,65.23,88.35
Georgia,GA,Banks,13,009,114.63,88.35
Georgia,GA,Barrow,13,011,67.50,88.35
Georgia,GA,Bartow,13,013,62.50,88.35
Georgia,GA,Ben Hill,13,015,79.99,88.35
Georgia,GA,Berrien,13,017,52.48,88.35
Georgia,GA,Bibb,13,019,60.16,88.35
Georgia,GA,Bleckley,13,021,60.00,88.35
Georgia,GA,Brantley,13,023,58.75,88.35
Georgia,GA,Brooks,13,025,66.24,88.35
Georgia,GA,Bryan,13,027,63.70,88.35
Georgia,GA,Bulloch,13,029,62.24,88.35
Georgia,GA,Burke,13,031,70.00,88.35
Georgia,GA,Butts,13,033,67.50,88.35
Georgia,GA,Calhoun,13,035,60.00,88.35
Georgia,GA,Camden,13,037,70.98,88.35
Georgia,GA,Candler,13,039,69.97,88.35
Georgia,GA,Carroll,13,043,62.99,88.35
Georgia,GA,Catoosa,13,045,62.56,88.35
Georgia,GA,Charlton,13,047,74.99,88.35
Georgia,GA,Chatham,13,049,63.85,88.35
Georgia,GA,Chattahoochee,13,051,80.31,88.35
Georgia,GA,Chattooga,13,053,64.98,88.35
Georgia,GA,Cherokee,13,055,69.11,88.35
Georgia,GA,Clarke,13,057,62.99,88.35
Georgia,GA,Clay,13,059,59.99,88.35
Georgia,GA,Clayton,13,061,79.35,88.35
Georgia,GA,Clinch,13,063,79.99,88.35
Georgia,GA,Cobb,13,065,92.54,88.35
Georgia,GA,Coffee,13,067,83.47,88.35
Georgia,GA,Colquitt,13,069,109.61,88.35
Georgia,GA,Columbia,13,071,66.66,88.35
Georgia,GA,Cook,13,073,131.95,88.35
Georgia,GA,Coweta,13,075,67.50,88.35
Georgia,GA,Crawford,13,077,68.66,88.35
Georgia,GA,Crisp,13,079,99.21,88.35
Georgia,GA,Dade,13,081,67.58,88.35
Georgia,GA,Dawson,13,083,68.65,88.35
Georgia,GA,Decatur,13,085,61.17,88.35
Georgia,GA,DeKalb,13,087,70.33,88.35
Georgia,GA,Dodge,13,089,70.00,88.35
Georgia,GA,Dooly,13,091,112.95,88.35
Georgia,GA,Dougherty,13,093,70.00,88.35
Georgia,GA,Douglas,13,095,72.23,88.35
Georgia,GA,Early,13,097,62.48,88.35
Georgia,GA,Echols,13,099,,88.35
Georgia,GA,Effingham,13,101,62.50,88.35
Georgia,GA,Elbert,13,103,75.97,88.35
Georgia,GA,Emanuel,13,105,89.76,88.35
Georgia,GA,Evans,13,107,66.65,88.35
Georgia,GA,Fannin,13,109,63.78,88.35
Georgia,GA,Fayette,13,111,62.99,88.35
Georgia,GA,Floyd,13,113,62.99,88.35
Georgia,GA,Forsyth,13,115,72.99,88.35
Georgia,GA,Franklin,13,117,73.31,88.35
Georgia,GA,Fulton,13,119,87.29,88.35
Georgia,GA,Gilmer,13,121,71.98,88.35
Georgia,GA,Glascock,13,123,69.99,88.35
Georgia,GA,Glynn,13,125,62.99,88.35
Georgia,GA,Gordon,13,127,67.99,88.35
Georgia,GA,Grady,13,129,62.47,88.35
Georgia,GA,Greene,13,131,55.12,88.35
Georgia,GA,Gwinnett,13,133,66.57,88.35
Georgia,GA,Habersham,13,135,79.99,88.35
Georgia,GA,Hall,13,137,67.50,88.35
Georgia,GA,Hancock,13,139,69.99,88.35
Georgia,GA,Haralson,13,141,67.50,88.35
Georgia,GA,Harris,13,143,75.24,88.35
Georgia,GA,Hart,13,145,79.97,88.35
Georgia,GA,Heard,13,147,65.00,88.35
Georgia,GA,Henry,13,149,67.50,88.35
Georgia,GA,Houston,13,151,60.16,88.35
Georgia,GA,Irwin,13,153,60.00,88.35
Georgia,GA,Jackson,13,155,62.99,88.35
Georgia,GA,Jasper,13,157,67.50,88.35
Georgia,GA,Jeff Davis,13,159,70.00,88.35
Georgia,GA,Jefferson,13,161,58.74,88.35
Georgia,GA,Jenkins,13,163,66.65,88.35
Georgia,GA,Johnson,13,165,114.63,88.35
Georgia,GA,Jones,13,167,63.49,88.35
Georgia,GA,Lamar,13,169,67.50,88.35
Georgia,GA,Lanier,13,171,70.00,88.35
Georgia,GA,Laurens,13,173,98.76,88.35
Georgia,GA,Lee,13,175,66.59,88.35
Georgia,GA,Liberty,13,177,60.00,88.35
Georgia,GA,Lincoln,13,179,62.97,88.35
Georgia,GA,Long,13,181,65.00,88.35
Georgia,GA,Lowndes,13,183,83.98,88.35
Georgia,GA,Lumpkin,13,185,70.00,88.35
Georgia,GA,Macon,13,187,63.33,88.35
Georgia,GA,Madison,13,193,63.33,88.35
Georgia,GA,Marion,13,195,59.99,88.35
Georgia,GA,McDuffie,13,197,70.00,88.35
Georgia,GA,McIntosh,13,189,69.97,88.35
