state_fips,state,state_abbr,msa_code,metro_name
48,Texas,TX,31180,Lubbock
48,Texas,TX,30980,Longview
48,Texas,TX,17780,College Station-Bryan
49,Utah,UT,30860,Logan
49,Utah,UT,36260,Ogden
49,Utah,UT,41620,Salt Lake City-Murray
49,Utah,UT,39340,Provo-Orem-Lehi
49,Utah,UT,41100,Saint George
50,Vermont,VT,15540,Burlington-South Burlington
51,Virginia,VA,40220,Roanoke
51,Virginia,VA,25500,Harrisonburg
51,Virginia,VA,16820,Charlottesville
51,Virginia,VA,44420,Staunton-Stuarts Draft
51,Virginia,VA,31340,Lynchburg
51,Virginia,VA,47260,Virginia Beach-Chesapeake-Norfolk
51,Virginia,VA,40060,Richmond
51,Virginia,VA,13980,Blacksburg-Christiansburg-Radford
51,Virginia,VA,49020,Winchester
53,Washington,WA,28420,Kennewick-Richland
53,Washington,WA,14740,Bremerton-Silverdale-Port Orchard
53,Washington,WA,47460,Walla Walla
53,Washington,WA,13380,Bellingham
53,Washington,WA,31020,Longview-Kelso
53,Washington,WA,34580,Mount Vernon-Anacortes
53,Washington,WA,44060,Spokane-Spokane Valley
53,Washington,WA,42660,Seattle-Tacoma-Bellevue
53,Washington,WA,36500,Olympia-Lacey-Tumwater
53,Washington,WA,48300,Wenatchee-East Wenatchee
53,Washington,WA,49420,Yakima
54,West Virginia,WV,34060,Morgantown
54,West Virginia,WV,48540,Wheeling
54,West Virginia,WV,37620,Parkersburg-Vienna
54,West Virginia,WV,26580,Huntington-Ashland
54,West Virginia,WV,13220,Beckley
54,West Virginia,WV,48260,Weirton-Steubenville
54,West Virginia,WV,16620,Charleston
55,Wisconsin,WI,43100,Sheboygan
55,Wisconsin,WI,11540,Appleton
55,Wisconsin,WI,24580,Green Bay
55,Wisconsin,WI,22540,Fond du Lac
55,Wisconsin,WI,28450,Kenosha
55,Wisconsin,WI,33340,Milwaukee-Waukesha
55,Wisconsin,WI,39540,Racine-Mount Pleasant
55,Wisconsin,WI,48140,Wausau
55,Wisconsin,WI,27500,Janesville-Beloit
55,Wisconsin,WI,20740,Eau Claire
55,Wisconsin,WI,31540,Madison
55,Wisconsin,WI,36780,Oshkosh-Neenah
55,Wisconsin,WI,29100,La Crosse-Onalaska
56,Wyoming,WY,16220,Casper
56,Wyoming,WY,16940,Cheyenne
