state,state_abbr,state_fips,county_code,msa_code,county_name
Georgia,GA,13,131,1300004,Grady
Georgia,GA,13,133,1300001,Greene
Georgia,GA,13,135,12060,Gwinnett
Georgia,GA,13,137,1300001,Habersham
Georgia,GA,13,139,23580,Hall
Georgia,GA,13,141,1300003,Hancock
Georgia,GA,13,143,12060,Haralson
Georgia,GA,13,145,17980,Harris
Georgia,GA,13,147,1300001,Hart
Georgia,GA,13,149,12060,Heard
Georgia,GA,13,151,12060,Henry
Georgia,GA,13,153,47580,Houston
Georgia,GA,13,155,1300004,Irwin
Georgia,GA,13,157,1300001,Jackson
Georgia,GA,13,159,12060,Jasper
Georgia,GA,13,161,1300004,Jeff Davis
Georgia,GA,13,163,1300003,Jefferson
Georgia,GA,13,165,1300003,Jenkins
Georgia,GA,13,167,1300003,Johnson
Georgia,GA,13,169,31420,Jones
Georgia,GA,13,171,1300002,Lamar
Georgia,GA,13,173,46660,Lanier
Georgia,GA,13,175,1300002,Laurens
Georgia,GA,13,177,10500,Lee
Georgia,GA,13,179,25980,Liberty
Georgia,GA,13,181,12260,Lincoln
Georgia,GA,13,183,25980,Long
Georgia,GA,13,185,46660,Lowndes
Georgia,GA,13,187,12060,Lumpkin
Georgia,GA,13,193,12260,Macon
Georgia,GA,13,195,15260,Madison
Georgia,GA,13,197,1300002,Marion
Georgia,GA,13,189,12020,McDuffie
Georgia,GA,13,191,17980,McIntosh
Georgia,GA,13,199,12060,Meriwether
Georgia,GA,13,201,1300004,Miller
Georgia,GA,13,205,1300004,Mitchell
Georgia,GA,13,207,31420,Monroe
Georgia,GA,13,209,1300003,Montgomery
Georgia,GA,13,211,12060,Morgan
Georgia,GA,13,213,19140,Murray
Georgia,GA,13,215,17980,Muscogee
Georgia,GA,13,217,12060,Newton
Georgia,GA,13,219,12020,Oconee
Georgia,GA,13,221,12020,Oglethorpe
Georgia,GA,13,223,12060,Paulding
Georgia,GA,13,225,47580,Peach
Georgia,GA,13,227,12060,Pickens
Georgia,GA,13,229,1300004,Pierce
Georgia,GA,13,231,12060,Pike
Georgia,GA,13,233,1300001,Polk
Georgia,GA,13,235,1300002,Pulaski
Georgia,GA,13,237,1300002,Putnam
Georgia,GA,13,239,1300004,Quitman
Georgia,GA,13,241,1300001,Rabun
Georgia,GA,13,243,1300004,Randolph
Georgia,GA,13,245,12260,Richmond
Georgia,GA,13,247,12060,Rockdale
Georgia,GA,13,249,1300002,Schley
Georgia,GA,13,251,1300003,Screven
Georgia,GA,13,253,1300004,Seminole
Georgia,GA,13,255,12060,Spalding
Georgia,GA,13,257,1300001,Stephens
Georgia,GA,13,259,17980,Stewart
Georgia,GA,13,261,1300002,Sumter
Georgia,GA,13,263,17980,Talbot
Georgia,GA,13,265,1300003,Taliaferro
Georgia,GA,13,267,1300003,Tattnall
Georgia,GA,13,269,1300002,Taylor
Georgia,GA,13,271,1300004,Telfair
Georgia,GA,13,273,10500,Terrell
Georgia,GA,13,275,1300004,Thomas
Georgia,GA,13,277,1300004,Tift
Georgia,GA,13,279,1300003,Toombs
Georgia,GA,13,281,1300001,Towns
Georgia,GA,13,283,1300003,Treutlen
Georgia,GA,13,285,1300002,Troup
Georgia,GA,13,287,1300004,Turner
Georgia,GA,13,289,31420,Twiggs
Georgia,GA,13,291,1300001,Union
Georgia,GA,13,293,1300002,Upson
Georgia,GA,13,295,16860,Walker
Georgia,GA,13,297,12060,Walton
Georgia,GA,13,299,1300004,Ware
Georgia,GA,13,301,1300003,Warren
Georgia,GA,13,303,1300003,Washington
Georgia,GA,13,305,1300004,Wayne
Georgia,GA,13,307,1300002,Webster
Georgia,GA,13,309,1300003,Wheeler
Georgia,GA,13,311,1300001,White
Georgia,GA,13,313,19140,Whitfield
Georgia,GA,13,315,1300002,Wilcox
Georgia,GA,13,317,1300003,Wilkes
Georgia,GA,13,319,1300002,Wilkinson
Georgia,GA,13,321,10500,Worth
Hawaii,HI,15,001,1500001,Hawaii
Hawaii,HI,15,003,46520,Honolulu
Hawaii,HI,15,005,27980,Kalawao
Hawaii,HI,15,007,1500001,Kauai
Hawaii,HI,15,009,27980,Maui
Idaho,ID,16,001,14260,Ada
Idaho,ID,16,003,1600006,Adams
Idaho,ID,16,005,38540,Bannock
Idaho,ID,16,007,1600007,Bear Lake
Idaho,ID,16,009,1600006,Benewah
Idaho,ID,16,011,1600007,Bingham
Idaho,ID,16,013,1600007,Blaine
Idaho,ID,16,015,14260,Boise
Idaho,ID,16,017,1600006,Bonner
Idaho,ID,16,019,26820,Bonneville
Idaho,ID,16,021,1600006,Boundary
Idaho,ID,16,023,26820,Butte
Idaho,ID,16,025,1600007,Camas
Idaho,ID,16,027,14260,Canyon
Idaho,ID,16,029,1600007,Caribou
Idaho,ID,16,031,1600007,Cassia
Idaho,ID,16,033,1600007,Clark
Idaho,ID,16,035,1600006,Clearwater
Idaho,ID,16,037,1600007,Custer
Idaho,ID,16,039,1600006,Elmore
Idaho,ID,16,041,30860,Franklin
Idaho,ID,16,043,1600007,Fremont
Idaho,ID,16,045,14260,Gem
Idaho,ID,16,047,1600007,Gooding
Idaho,ID,16,049,1600006,Idaho
Idaho,ID,16,051,26820,Jefferson
Idaho,ID,16,053,46300,Jerome
Idaho,ID,16,055,17660,Kootenai
Idaho,ID,16,057,1600006,Latah
Idaho,ID,16,059,1600007,Lemhi
Idaho,ID,16,061,1600006,Lewis
Idaho,ID,16,063,1600007,Lincoln
Idaho,ID,16,065,1600007,Madison
Idaho,ID,16,067,1600007,Minidoka
Idaho,ID,16,069,30300,Nez Perce
Idaho,ID,16,071,1600007,Oneida
Idaho,ID,16,073,14260,Owyhee
Idaho,ID,16,075,1600006,Payette
Idaho,ID,16,077,1600007,Power
Idaho,ID,16,079,1600006,Shoshone
Idaho,ID,16,081,1600007,Teton
Idaho,ID,16,083,46300,Twin Falls
Idaho,ID,16,085,1600006,Valley
Idaho,ID,16,087,1600006,Washington
Illinois,IL,17,001,1700002,Adams
Illinois,IL,17,003,16020,Alexander
Illinois,IL,17,005,41180,Bond
Illinois,IL,17,007,40420,Boone
Illinois,IL,17,009,1700002,Brown
Illinois,IL,17,011,1700001,Bureau
Illinois,IL,17,013,41180,Calhoun
Illinois,IL,17,015,1700001,Carroll
Illinois,IL,17,017,1700002,Cass
Illinois,IL,17,019,16580,Champaign
Illinois,IL,17,021,1700002,Christian
Illinois,IL,17,023,1700003,Clark
Illinois,IL,17,025,1700003,Clay
Illinois,IL,17,027,41180,Clinton
Illinois,IL,17,029,1700003,Coles
Illinois,IL,17,031,16980,Cook
Illinois,IL,17,033,1700003,Crawford
Illinois,IL,17,035,1700003,Cumberland
Illinois,IL,17,037,16980,DeKalb
Illinois,IL,17,039,1700002,De Witt
Illinois,IL,17,041,1700003,Douglas
Illinois,IL,17,043,16980,DuPage
Illinois,IL,17,045,1700003,Edgar
Illinois,IL,17,047,1700004,Edwards
Illinois,IL,17,049,1700003,Effingham
Illinois,IL,17,051,1700003,Fayette
Illinois,IL,17,053,16580,Ford
Illinois,IL,17,055,1700004,Franklin
Illinois,IL,17,057,1700002,Fulton
Illinois,IL,17,059,1700004,Gallatin
Illinois,IL,17,061,1700002,Greene
Illinois,IL,17,063,16980,Grundy
Illinois,IL,17,065,1700004,Hamilton
Illinois,IL,17,067,1700002,Hancock
Illinois,IL,17,069,1700004,Hardin
Illinois,IL,17,071,1700002,Henderson
Illinois,IL,17,073,19340,Henry
Illinois,IL,17,075,1700003,Iroquois
Illinois,IL,17,077,1700004,Jackson
Illinois,IL,17,079,1700003,Jasper
Illinois,IL,17,081,1700004,Jefferson
Illinois,IL,17,083,41180,Jersey
Illinois,IL,17,085,1700001,Jo Daviess
Illinois,IL,17,087,1700004,Johnson
Illinois,IL,17,089,16980,Kane
Illinois,IL,17,091,28100,Kankakee
Illinois,IL,17,093,16980,Kendall
Illinois,IL,17,095,1700002,Knox
Illinois,IL,17,097,16980,Lake
Illinois,IL,17,099,1700001,LaSalle
Illinois,IL,17,101,1700003,Lawrence
Illinois,IL,17,103,1700001,Lee
Illinois,IL,17,105,1700002,Livingston
Illinois,IL,17,107,1700002,Logan
Illinois,IL,17,115,1700002,Macon
Illinois,IL,17,117,16980,Macoupin
Illinois,IL,17,119,14010,Madison
Illinois,IL,17,121,19500,Marion
Illinois,IL,17,123,41180,Marshall
Illinois,IL,17,125,41180,Mason
Illinois,IL,17,127,1700003,Massac
Illinois,IL,17,109,37900,McDonough
Illinois,IL,17,111,1700002,McHenry
Illinois,IL,17,113,37140,McLean
Illinois,IL,17,129,44100,Menard
Illinois,IL,17,131,19340,Mercer
Illinois,IL,17,133,41180,Monroe
Illinois,IL,17,135,1700002,Montgomery
Illinois,IL,17,137,1700002,Morgan
Illinois,IL,17,139,1700002,Moultrie
