region_id,metro_name,state_fips,state_abbr,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025,9/30/2025,10/31/2025,11/30/2025,12/31/2025,1/31/2026,2/28/2026,3/31/2026
395167,Tucson,04,AZ,1811.02,1816.08,1815.92,1828.87,1840.07,1850.17,1852.13,1848.25,1854.55,1854.44,1859.38,1851.32,1852.82,1856.15,1866.17,1863.56,1869.53,1865.69,1871.77,1869.56,1876.01,1869.74,1861.81,1855.56,1865.75,1875.08,1879.43
753924,Urban Honolulu,15,HI,2958.16,2969.76,2992.75,3019.78,3032.87,3044.60,3059.44,3066.39,3079.80,3085.98,3092.18,3101.53,3101.19,3125.41,3116.17,3144.39,3171.29,3205.08,3215.85,3202.78,3217.72,3229.37,3217.21,3242.50,3256.31,3323.63,3313.09
395169,Tulsa,40,OK,1470.97,1476.91,1482.35,1492.26,1503.20,1510.94,1514.52,1518.86,1524.09,1524.86,1518.20,1520.17,1522.98,1540.29,1549.34,1565.22,1564.81,1570.30,1577.01,1582.76,1581.63,1576.84,1575.26,1574.61,1573.17,1580.67,1587.28
394619,Fresno,06,CA,2171.42,2172.15,2178.66,2203.40,2222.79,2235.76,2236.45,2236.86,2255.35,2264.66,2258.73,2230.60,2233.75,2242.20,2269.85,2285.26,2304.66,2300.55,2299.60,2299.15,2297.26,2300.09,2296.07,2311.51,2321.41,2338.39,2338.53
395238,Worcester,25,MA,2411.71,2423.33,2453.35,2462.54,2484.15,2504.44,2516.16,2521.96,2512.71,2531.83,2558.26,2569.05,2583.53,2567.91,2573.75,2595.22,2596.03,2640.39,2640.63,2682.05,2672.15,2667.39,2653.17,2671.45,2694.52,2695.44,2656.22
394938,Omaha,31,NE,1766.82,1774.29,1786.80,1804.81,1817.30,1830.41,1843.66,1851.96,1849.43,1854.75,1864.45,1867.70,1878.76,1889.69,1905.92,1909.29,1908.62,1914.94,1922.94,1925.73,1921.93,1918.11,1914.56,1921.99,1928.67,1939.45,1947.87
394415,Bridgeport,09,CT,3929.80,3980.97,4045.21,4099.92,4135.26,4170.12,4187.15,4213.67,4165.24,4129.96,4066.27,4055.90,4126.81,4199.15,4282.27,4281.48,4302.48,4296.24,4320.09,4319.45,4353.61,4336.78,4301.56,4260.43,4291.30,4339.67,4433.00
394653,Greenville,45,SC,1688.64,1681.72,1688.21,1700.90,1717.14,1728.76,1731.62,1735.79,1730.78,1738.69,1749.01,1763.36,1774.18,1781.92,1786.86,1783.68,1781.69,1777.17,1783.65,1792.87,1804.32,1816.12,1811.49,1819.05,1817.31,1826.03,1828.27
394312,Albuquerque,35,NM,1962.23,1968.04,1975.00,1990.36,2002.98,2014.37,2017.96,2018.83,2024.95,2022.47,2016.93,2010.94,2019.06,2025.42,2047.17,2047.03,2062.64,2073.51,2085.44,2090.29,2087.36,2098.09,2091.39,2082.23,2076.71,2091.09,2103.72
394357,Bakersfield,06,CA,2022.58,2046.99,2054.95,2079.58,2086.21,2099.35,2101.26,2111.44,2114.00,2125.23,2122.01,2111.34,2120.35,2137.14,2158.33,2157.12,2161.41,2167.18,2181.18,2172.60,2185.25,2173.65,2183.02,2166.64,2173.32,2187.40,2206.30
394308,Albany,36,NY,2016.52,2000.19,2021.85,2018.20,2053.61,2059.87,2070.99,2062.76,2055.46,2056.41,2078.26,2091.94,2091.97,2093.76,2105.88,2129.74,2128.08,2148.43,2138.23,2193.59,2202.56,2202.01,2153.87,2156.29,2180.83,2183.96,2188.66
394753,Knoxville,47,TN,1943.03,1958.10,1973.41,1998.11,2012.38,2010.26,2009.15,2014.54,2016.91,2015.94,2007.56,2015.36,2023.89,2033.42,2047.10,2056.60,2063.50,2069.65,2071.13,2080.58,2084.95,2084.91,2072.63,2072.09,2075.89,2078.20,2083.90
394367,Baton Rouge,22,LA,1686.46,1681.52,1683.94,1690.60,1701.69,1712.95,1721.40,1730.07,1735.99,1731.64,1727.90,1724.23,1727.71,1733.34,1741.96,1750.42,1756.70,1761.52,1772.78,1771.16,1772.72,1768.85,1781.48,1783.84,1775.02,1769.87,1780.25
394843,McAllen,48,TX,1656.95,1654.43,1664.29,1680.16,1687.27,1685.17,1684.77,1682.19,1676.52,1672.10,1686.21,1696.00,1711.60,1697.43,1697.62,1684.47,1707.40,1719.89,1723.14,1713.31,1700.52,1698.47,1707.31,1712.88,1721.19,1712.61,1712.43
394908,New Haven,09,CT,2578.02,2589.11,2608.01,2678.59,2722.54,2757.00,2743.81,2733.63,2712.39,2723.54,2708.80,2752.56,2744.04,2788.01,2783.79,2813.03,2865.01,2867.35,2896.73,2866.25,2858.65,2854.26,2856.68,2900.82,2888.84,2887.57,2864.13
394561,El Paso,48,TX,1614.03,1629.81,1642.98,1652.21,1655.31,1661.21,1660.36,1656.58,1653.22,1653.56,1657.67,1666.39,1676.37,1677.86,1680.16,1684.55,1699.92,1698.82,1702.58,1691.87,1702.87,1697.80,1702.96,1699.51,1711.12,1727.48,1738.47
394318,Allentown,42,PA,1918.61,1929.59,1942.13,1951.43,1962.58,1979.43,1992.72,1994.61,2000.96,1993.46,2009.94,2019.03,2029.73,2031.45,2038.25,2059.97,2065.53,2069.40,2073.22,2092.46,2094.17,2097.50,2078.75,2075.17,2080.99,2085.14,2093.91
