state,state_abbr,state_fips,msa_code,metro_name,adult_1_children_0,adult_1_children_1,adult_1_children_2,adult_1_children_3,adults_2_children_0,adults_2_children_1,adults_2_children_2,adults_2_children_3
Oregon,OR,41,32780,Medford,4510,6616,9913,13193,8268,10261,13199,16104
Pennsylvania,PA,42,10900,Allentown-Bethlehem-Easton,4504,6607,9899,13175,8257,10248,13181,16082
Pennsylvania,PA,42,29540,Lancaster,4487,6582,9861,13125,8225,10208,13131,16020
Pennsylvania,PA,42,25420,Harrisburg-Carlisle,4295,6301,9441,12565,7875,9773,12571,15337
Pennsylvania,PA,42,49620,York-Hanover,4206,6170,9245,12304,7711,9570,12310,15019
Pennsylvania,PA,42,38300,Pittsburgh,4565,6697,10034,13355,8369,10387,13360,16301
Pennsylvania,PA,42,37980,Philadelphia-Camden-Wilmington,4713,6913,10358,13786,8640,10722,13792,16827
Pennsylvania,PA,42,16540,Chambersburg,4183,6136,9194,12236,7669,9517,12242,14936
Pennsylvania,PA,42,42540,Scranton--Wilkes-Barre,4251,6237,9344,12436,7794,9673,12442,15180
Pennsylvania,PA,42,30140,Lebanon,4206,6170,9245,12304,7711,9570,12310,15019
Pennsylvania,PA,42,48700,Williamsport,4265,6256,9373,12475,7818,9703,12481,15228
Pennsylvania,PA,42,11020,Altoona,4124,6050,9065,12065,7561,9384,12071,14727
Pennsylvania,PA,42,27780,Johnstown,4159,6102,9142,12168,7626,9464,12173,14852
Pennsylvania,PA,42,21500,Erie,4311,6325,9476,12612,7904,9810,12618,15395
Pennsylvania,PA,42,39740,Reading,4253,6239,9348,12441,7797,9677,12447,15186
Pennsylvania,PA,42,44300,State College,4557,6685,10015,13330,8354,10368,13336,16271
Pennsylvania,PA,42,23900,Gettysburg,4311,6325,9476,12612,7904,9810,12618,15395
Rhode Island,RI,44,39300,Providence-Warwick,4661,6838,10245,13635,8546,10606,13642,16644
South Carolina,SC,45,44940,Sumter,3844,5639,8449,11245,7047,8746,11250,13726
South Carolina,SC,45,22500,Florence,3870,5677,8505,11320,7094,8805,11325,13818
South Carolina,SC,45,43900,Spartanburg,3896,5715,8563,11397,7143,8864,11402,13912
