state,state_abbr,state_fips,provider_name,alternative_provider_name,line_count,monthly_cost,cost_per_line,alternative_monthly_cost,alternative_cost_per_line
Texas,TX,48,AT&T,Cricket,3,105,35,90,30
Utah,UT,49,T-Mobile,Mint Mobile,3,270,90,90,30
Vermont,VT,50,Verizon,Visible,3,120,40,75,25
Virginia,VA,51,AT&T,Cricket,3,105,35,90,30
Washington,WA,53,T-Mobile,Mint Mobile,3,270,90,90,30
West Virginia,WV,54,Verizon,Visible,3,120,40,75,25
Wisconsin,WI,55,Verizon,Visible,3,120,40,75,25
Wyoming,WY,56,Verizon,Visible,3,120,40,75,25
Alabama,AL,01,Verizon,Visible,4,136,34,100,25
Alaska,AK,02,Verizon,Visible,4,136,34,100,25
Arizona,AZ,04,T-Mobile,Mint Mobile,4,400,100,120,30
Arkansas,AR,05,Verizon,Visible,4,136,34,100,25
California,CA,06,AT&T,Cricket,4,135,45,100,25
Colorado,CO,08,T-Mobile,Mint Mobile,4,400,100,120,30
Connecticut,CT,09,AT&T,Cricket,4,135,45,100,25
Delaware,DE,10,AT&T,Cricket,4,135,45,100,25
District of Columbia,DC,11,AT&T,Cricket,4,135,45,100,25
Florida,FL,12,T-Mobile,Mint Mobile,4,400,100,120,30
Georgia,GA,13,AT&T,Cricket,4,135,45,100,25
Hawaii,HI,15,Verizon,Visible,4,136,34,100,25
Idaho,ID,16,Verizon,Visible,4,136,34,100,25
Illinois,IL,17,AT&T,Cricket,4,135,45,100,25
Indiana,IN,18,Verizon,Visible,4,136,34,100,25
Iowa,IA,19,Verizon,Visible,4,136,34,100,25
Kansas,KS,20,Verizon,Visible,4,136,34,100,25
Kentucky,KY,21,Verizon,Visible,4,136,34,100,25
Louisiana,LA,22,AT&T,Cricket,4,135,45,100,25
Maine,ME,23,Verizon,Visible,4,136,34,100,25
Maryland,MD,24,AT&T,Cricket,4,135,45,100,25
Massachusetts,MA,25,AT&T,Cricket,4,135,45,100,25
Michigan,MI,26,Verizon,Visible,4,136,34,100,25
Minnesota,MN,27,Verizon,Visible,4,136,34,100,25
Mississippi,MS,28,Verizon,Visible,4,136,34,100,25
Missouri,MO,29,Verizon,Visible,4,136,34,100,25
Montana,MT,30,Verizon,Visible,4,136,34,100,25
Nebraska,NE,31,Verizon,Visible,4,136,34,100,25
Nevada,NV,32,T-Mobile,Mint Mobile,4,400,100,120,30
New Hampshire,NH,33,Verizon,Visible,4,136,34,100,25
New Jersey,NJ,34,AT&T,Cricket,4,135,45,100,25
New Mexico,NM,35,Verizon,Visible,4,136,34,100,25
New York,NY,36,AT&T,Cricket,4,135,45,100,25
North Carolina,NC,37,AT&T,Cricket,4,135,45,100,25
North Dakota,ND,38,Verizon,Visible,4,136,34,100,25
Ohio,OH,39,Verizon,Visible,4,136,34,100,25
Oklahoma,OK,40,Verizon,Visible,4,136,34,100,25
Oregon,OR,41,T-Mobile,Mint Mobile,4,400,100,120,30
Pennsylvania,PA,42,AT&T,Cricket,4,135,45,100,25
Rhode Island,RI,44,AT&T,Cricket,4,135,45,100,25
South Carolina,SC,45,Verizon,Visible,4,136,34,100,25
South Dakota,SD,46,Verizon,Visible,4,136,34,100,25
Tennessee,TN,47,AT&T,Cricket,4,135,45,100,25
Texas,TX,48,AT&T,Cricket,4,135,45,100,25
Utah,UT,49,T-Mobile,Mint Mobile,4,400,100,120,30
Vermont,VT,50,Verizon,Visible,4,136,34,100,25
Virginia,VA,51,AT&T,Cricket,4,135,45,100,25
Washington,WA,53,T-Mobile,Mint Mobile,4,400,100,120,30
West Virginia,WV,54,Verizon,Visible,4,136,34,100,25
Wisconsin,WI,55,Verizon,Visible,4,136,34,100,25
Wyoming,WY,56,Verizon,Visible,4,136,34,100,25
Alabama,AL,01,Verizon,Visible,5,145,29,125,25
Alaska,AK,02,Verizon,Visible,5,145,29,125,25
Arizona,AZ,04,T-Mobile,Mint Mobile,5,625,125,150,30
Arkansas,AR,05,Verizon,Visible,5,145,29,125,25
California,CA,06,AT&T,Cricket,5,200,40,120,24
Colorado,CO,08,T-Mobile,Mint Mobile,5,625,125,150,30
Connecticut,CT,09,AT&T,Cricket,5,200,40,120,24
Delaware,DE,10,AT&T,Cricket,5,200,40,120,24
District of Columbia,DC,11,AT&T,Cricket,5,200,40,120,24
Florida,FL,12,T-Mobile,Mint Mobile,5,625,125,150,30
Georgia,GA,13,AT&T,Cricket,5,200,40,120,24
Hawaii,HI,15,Verizon,Visible,5,145,29,125,25
Idaho,ID,16,Verizon,Visible,5,145,29,125,25
Illinois,IL,17,AT&T,Cricket,5,200,40,120,24
Indiana,IN,18,Verizon,Visible,5,145,29,125,25
Iowa,IA,19,Verizon,Visible,5,145,29,125,25
Kansas,KS,20,Verizon,Visible,5,145,29,125,25
Kentucky,KY,21,Verizon,Visible,5,145,29,125,25
Louisiana,LA,22,AT&T,Cricket,5,200,40,120,24
Maine,ME,23,Verizon,Visible,5,145,29,125,25
Maryland,MD,24,AT&T,Cricket,5,200,40,120,24
Massachusetts,MA,25,AT&T,Cricket,5,200,40,120,24
Michigan,MI,26,Verizon,Visible,5,145,29,125,25
Minnesota,MN,27,Verizon,Visible,5,145,29,125,25
Mississippi,MS,28,Verizon,Visible,5,145,29,125,25
Missouri,MO,29,Verizon,Visible,5,145,29,125,25
Montana,MT,30,Verizon,Visible,5,145,29,125,25
Nebraska,NE,31,Verizon,Visible,5,145,29,125,25
Nevada,NV,32,T-Mobile,Mint Mobile,5,625,125,150,30
New Hampshire,NH,33,Verizon,Visible,5,145,29,125,25
